dist,exch_opt,exch_range,alpha,beta,kappa,nmi
minus_log,d,3,2,50,0,0.05874561903490087
minus_log,d,3,2,50,0.3333333333333333,0.059979162633214456
minus_log,d,3,2,50,0.6666666666666666,0.0700651810635708
minus_log,d,3,2,50,1,0.08177322785432171
minus_log,d,3,2,100,0,0.05120168050816679
minus_log,d,3,2,100,0.3333333333333333,0.056233315446010367
minus_log,d,3,2,100,0.6666666666666666,0.05415941897265043
minus_log,d,3,2,100,1,0.06423588073573919
minus_log,d,3,2,300,0,0.050193323837619076
minus_log,d,3,2,300,0.3333333333333333,0.05049239890391462
minus_log,d,3,2,300,0.6666666666666666,0.04773990394608299
minus_log,d,3,2,300,1,0.05132561585559965
minus_log,d,3,5,0.1,0,0.0018190581221258155
minus_log,d,3,5,0.1,0.3333333333333333,0.00394451091832626
minus_log,d,3,5,0.1,0.6666666666666666,0.002301171242024496
minus_log,d,3,5,0.1,1,0.002678702005861908
minus_log,d,3,5,1,0,0.007676198240262334
minus_log,d,3,5,1,0.3333333333333333,0.003790696331431509
minus_log,d,3,5,1,0.6666666666666666,0.002460046006789492
minus_log,d,3,5,1,1,0.0008629441384132207
minus_log,d,3,5,5,0,0.02298541425095373
minus_log,d,3,5,5,0.3333333333333333,0.005395130391397723
minus_log,d,3,5,5,0.6666666666666666,0.0016582066952151309
minus_log,d,3,5,5,1,0.004409174555996782
minus_log,d,3,5,10,0,0.0807883523483968
minus_log,d,3,5,10,0.3333333333333333,0.01195480011902917
minus_log,d,3,5,10,0.6666666666666666,0.0017833487531692695
minus_log,d,3,5,10,1,0.0026951496299616653
minus_log,d,3,5,50,0,0.0661209481640023
minus_log,d,3,5,50,0.3333333333333333,0.08671369421063509
minus_log,d,3,5,50,0.6666666666666666,0.05504372432980827
minus_log,d,3,5,50,1,0.0032608800422755167
minus_log,d,3,5,100,0,0.04952575447710386
minus_log,d,3,5,100,0.3333333333333333,0.06143532858454007
minus_log,d,3,5,100,0.6666666666666666,0.0420439516461991
minus_log,d,3,5,100,1,0.09274287331994786
minus_log,d,3,5,300,0,0.05534440730342638
minus_log,d,3,5,300,0.3333333333333333,0.05503013215387353
minus_log,d,3,5,300,0.6666666666666666,0.05935205645441627
minus_log,d,3,5,300,1,0.058951085265266795
minus_log,d,3,10,0.1,0,0.001935125790693554
minus_log,d,3,10,0.1,0.3333333333333333,0.0018981683951554479
minus_log,d,3,10,0.1,0.6666666666666666,0.001957965704212691
minus_log,d,3,10,0.1,1,0.0027500984854350124
minus_log,d,3,10,1,0,0.002157480772210332
minus_log,d,3,10,1,0.3333333333333333,0.0029059342002081307
minus_log,d,3,10,1,0.6666666666666666,0.001982888603512599
minus_log,d,3,10,1,1,0.0010976381962092283
minus_log,d,3,10,5,0,0.006567364548886553
minus_log,d,3,10,5,0.3333333333333333,0.004963318707110854
minus_log,d,3,10,5,0.6666666666666666,0.000906597411064286
minus_log,d,3,10,5,1,0.0048565631165889194
minus_log,d,3,10,10,0,0.003033003073083107
minus_log,d,3,10,10,0.3333333333333333,0.004578369525098566
minus_log,d,3,10,10,0.6666666666666666,0.004269952701906955
minus_log,d,3,10,10,1,0.0015215280235496638
minus_log,d,3,10,50,0,0.11739067477156223
minus_log,d,3,10,50,0.3333333333333333,0.013910422569608984
minus_log,d,3,10,50,0.6666666666666666,0.003514413327385534
minus_log,d,3,10,50,1,0.0017206545442863712
minus_log,d,3,10,100,0,0.07037060170939448
minus_log,d,3,10,100,0.3333333333333333,0.08605421715575108
minus_log,d,3,10,100,0.6666666666666666,0.031782031866855916
minus_log,d,3,10,100,1,0.004627645692672063
minus_log,d,3,10,300,0,0.06063471002691645
minus_log,d,3,10,300,0.3333333333333333,0.058525655144212436
minus_log,d,3,10,300,0.6666666666666666,0.07458688329401582
minus_log,d,3,10,300,1,0.06502077115186534
minus_log,d,3,50,0.1,0,0.0013013673744198596
minus_log,d,3,50,0.1,0.3333333333333333,0.0009079214148724268
minus_log,d,3,50,0.1,0.6666666666666666,0.0018231744088528512
minus_log,d,3,50,0.1,1,0.0021927337041947057
minus_log,d,3,50,1,0,0.0015491734445731307
minus_log,d,3,50,1,0.3333333333333333,0.0035548198707830102
minus_log,d,3,50,1,0.6666666666666666,0.002180879774501489
minus_log,d,3,50,1,1,0.0015833914140493568
minus_log,d,3,50,5,0,0.003196354257256979
minus_log,d,3,50,5,0.3333333333333333,0.00274887048303183
minus_log,d,3,50,5,0.6666666666666666,0.0010999094419623593
minus_log,d,3,50,5,1,0.004427068583848389
minus_log,d,3,50,10,0,0.0021140823956747948
minus_log,d,3,50,10,0.3333333333333333,0.0029214814668481327
minus_log,d,3,50,10,0.6666666666666666,0.0013582468623299952
minus_log,d,3,50,10,1,0.0019026889666780534
minus_log,d,3,50,50,0,0.0016336234119299295
minus_log,d,3,50,50,0.3333333333333333,0.0015929567605727877
minus_log,d,3,50,50,0.6666666666666666,0.003085989358681463
minus_log,d,3,50,50,1,0.0012752855518301932
minus_log,d,3,50,100,0,0.004098107543741096
minus_log,d,3,50,100,0.3333333333333333,0.002214259305778329
minus_log,d,3,50,100,0.6666666666666666,0.002463368354303513
minus_log,d,3,50,100,1,0.0017484750865768147
minus_log,d,3,50,300,0,0.0970701256140365
minus_log,d,3,50,300,0.3333333333333333,0.00259888234535231
minus_log,d,3,50,300,0.6666666666666666,0.0027327477274379053
minus_log,d,3,50,300,1,0.0016843380845925854
minus_log,d,3,100,0.1,0,0.002594086819763051
minus_log,d,3,100,0.1,0.3333333333333333,0.0019892691100908224
minus_log,d,3,100,0.1,0.6666666666666666,0.002240614479142579
minus_log,d,3,100,0.1,1,0.0013229328770907893
minus_log,d,3,100,1,0,0.002540149079691782
minus_log,d,3,100,1,0.3333333333333333,0.003790596599875345
minus_log,d,3,100,1,0.6666666666666666,0.001105672417009494
minus_log,d,3,100,1,1,0.0019941544798634235
minus_log,d,3,100,5,0,0.0016695128197640214
minus_log,d,3,100,5,0.3333333333333333,0.00136273793397679
minus_log,d,3,100,5,0.6666666666666666,0.0026688153393746596
minus_log,d,3,100,5,1,0.0011961672381266576
minus_log,d,3,100,10,0,0.0018153565239602415
minus_log,d,3,100,10,0.3333333333333333,0.001957506043072292
minus_log,d,3,100,10,0.6666666666666666,0.0038130502405516707
minus_log,d,3,100,10,1,0.0024070114295183186
minus_log,d,3,100,50,0,0.003903470181988088
minus_log,d,3,100,50,0.3333333333333333,0.001574177611858044
minus_log,d,3,100,50,0.6666666666666666,0.0019271841219567459
minus_log,d,3,100,50,1,0.0037221140983889596
minus_log,d,3,100,100,0,0.0017795450257095825
minus_log,d,3,100,100,0.3333333333333333,0.0014397473048393613
