,token,lisa
116,show,-0.02221784278820291
117,thus,0.024638481513002373
118,successfully,0.02351098794772484
119,men,0.0035873810028802257
120,impose,0.02359668532769542
121,upon,-0.0026499410229538145
122,even,0.0048845585595615896
123,impose,0.03472741213366596
124,advantage,0.021098444438300237
125,excellent,-0.008128825496222675
126,must,0.031236762582015472
127,allow,0.051086368524270655
128,yet,0.019220370441210416
129,government,0.03314855466459569
130,never,-0.0032978371259575236
131,further,0.025183899948398196
132,enterprise,0.001224735316780209
133,alacrity,-0.015580829356461186
134,get,0.027490378047332148
135,way,0.017912274312801655
136,keep,0.020143502258212036
137,country,-0.006759067569576519
138,free,-0.008634520614948633
139,settle,0.006486074091473739
140,west,-0.02232599899618064
141,educate,-0.007194659589675566
142,character,-0.029465898238895262
143,inherent,-0.009430613713365427
144,american,-0.03559492675221613
145,people,-0.014647077464846432
146,do,0.02528874015514687
147,accomplish,0.03216272329713496
148,would,0.04070390391120506
149,do,0.028265640686381713
150,somewhat,-0.007790527541645622
151,government,0.014334052907205004
152,sometimes,-0.004069563331752404
153,get,0.03671884321573977
154,way,0.033510122653713045
155,government,-0.0014217889415214138
156,expedient,0.015163523523294377
157,men,-0.017654751981234885
158,would,0.04800653481533766
159,fain,0.005840684016780567
160,succeed,0.013006828818980942
161,let,0.029061826123653725
162,one,0.013939666747024763
163,another,0.017083340944250004
164,alone,0.00951257200015742
165,say,-0.0181923213851607
166,expedient,0.029940879666165893
167,governed,-0.003474790613145585
168,let,0.027084369277106276
169,alone,0.009592493211709227
170,trade,-0.019616015491391612
171,commerce,-0.010480962189728379
172,make,0.020210743483780002
173,indiarubber,0.004162373329280928
174,would,0.05402899654847654
175,never,0.021565572049547878
176,manage,0.001247321767000319
177,bounce,0.008199218727721667
178,obstacle,0.012939432593357
179,legislator,-0.009231803482053972
180,continually,-0.021319048397303204
181,put,0.021639928646603995
182,way,0.01279413091016413
183,one,0.01433000023074099
184,judge,0.00179868713034637
185,men,-0.002297024024472819
186,wholly,0.004843414988108866
187,effect,-0.011512753684375421
188,action,-0.004728339318844325
189,partly,-0.01218907221927663
190,intention,0.0017201951013628416
191,would,0.04375751818513051
192,deserve,-0.0085004811061183
193,class,-0.010856913949819807
194,punished,-0.010244079909208855
195,person,0.01789696727252416
196,put,0.01964104227636235
197,obstruction,-0.004313767273051805
198,railroad,-0.0159040011804097
199,speak,-0.028197635696760728
200,practically,0.0034770797854154446
201,citizen,0.0036732877193594283
202,unlike,-0.010785753741578447
203,call,-0.009754418769380551
204,men,0.014033854058434091
205,ask,-0.016911341306453165
206,government,0.021751576277515287
207,well,-0.019727742682836204
208,government,0.02875702817142332
209,let,-0.005334939728659004
210,every,-0.010402393255493594
211,man,-0.02376747446197967
212,make,-0.0019832545051969856
213,know,-0.019737630438967046
214,kind,-0.004028388118097747
215,government,0.02292294004401846
216,would,0.017346702303070456
217,command,-0.006689691121037869
218,respect,0.000986813791628482
219,one,-0.0022091693279362463
220,step,0.009088500218466994
221,toward,0.012092039252874102
222,obtain,0.009657626421284022
223,practical,-0.01203303062853733
224,reason,0.0024143350784938643
225,power,0.007893794195773811
226,hand,0.005218078607764485
227,people,0.020151869588161623
228,majority,0.06233021570455797
229,permit,0.03269215564358425
230,long,-0.009801030054913609
231,period,-0.00030543000808128356
232,continue,0.003420571652963405
233,rule,0.04659778742665002
234,likely,0.016257251162586542
235,right,0.037826610112755316
236,seem,0.0007131312595871477
237,fair,-0.03226626776961466
238,minority,0.05676188362734756
239,physically,-0.017295085575283493
240,strong,0.0004095246163961258
241,government,0.031979438875500414
242,majority,0.08595123876206627
243,rule,0.06924329424046503
244,case,0.028632025385082704
245,base,0.011554849124987807
246,justice,0.02259049918365298
247,even,0.010977000332967096
248,far,0.005431738424257389
249,men,-0.014628934253988132
250,understand,-0.02141502000571235
251,government,0.03343843883812056
252,majority,0.0885319970873749
253,virtually,0.019840504734182824
254,decide,0.018776014920284377
255,right,0.02818407068054403
256,wrong,-0.007740245040182228
257,majority,0.060322210347955374
258,decide,0.01867857316674823
259,question,0.03017747031345888
260,rule,0.03851984613135567
261,expediency,0.015169069401150197
262,applicable,0.02884136759099847
263,must,0.020261703680970272
264,citizen,0.018916375892670728
265,ever,0.005779774732361709
266,moment,0.017217663513466312
267,least,0.02322821516584504
268,degree,0.005396737020445962
269,resign,-0.014376497360783388
270,conscience,0.03611489400587531
271,legislator,0.003958218674670106
272,every,0.01667375210989162
273,man,-0.010342028519303355
274,conscience,0.06496449786706743
275,think,0.03655655924838919
276,men,-0.010723977024157508
277,first,0.006403032007717139
278,subject,0.013829938614519671
279,afterward,-0.00916201545136878
280,desirable,-0.020022410840434504
281,cultivate,-0.02320247331827411
282,respect,0.03170584968633712
283,law,0.037784779462352126
284,much,-0.02631291086197511
285,right,0.04357378529075767
286,obligation,0.042389402675074316
287,right,0.042995964321814226
288,assume,-0.009681806057354424
289,time,0.008472591351846795
290,think,0.030507713056093483
291,right,0.04258223505199953
292,truly,0.014515642455779923
293,enough,0.0022449315447833993
294,say,-0.0009525680506867303
295,corporation,0.02654172163199549
296,conscience,0.05795180511066287
297,corporation,0.024138991009719227
298,conscientious,0.026898854314008173
299,men,-0.0022827945959100113
300,corporation,0.024094065614254073
301,conscience,0.037085699200054154
302,law,0.04947880815847786
303,never,-0.011003412578280334
304,make,-0.019841049780382775
305,men,-0.012238547576139555
306,whit,-0.007054030158326903
307,mean,-0.006135066838022881
308,respect,0.01667518114885859
309,even,-0.02601811189536147
310,daily,0.0029409066699558873
311,make,-0.028019516967971666
312,agent,0.011709646207042687
313,injustice,0.013048476010215906
314,common,0.008139243557261915
315,natural,-0.0035531888897722304
316,result,-0.016872548701286478
317,undue,-0.005202134640879287
318,respect,-0.0015868679980474561
319,law,0.02966039004276934
320,may,0.03096297489297815
321,see,-0.018934998243099025
322,file,0.003750529508410079
323,soldier,0.03269705662184966
324,colonel,0.049416791978406295
325,captain,0.033941760477020445
326,corporal,0.045795637944958355
327,private,0.004087263838199321
328,march,0.034640588810148545
329,admirable,-0.0008626570154219909
330,order,0.0014312057305377504
331,hill,0.022028417920437502
332,dale,0.020028140552639392
333,war,0.017675221175351738
334,will,-0.02129973313749329
335,ay,0.01306085315209635
336,common,0.027127070601631553
337,sense,-0.012060337205425556
338,conscience,0.005437019571709766
339,make,-0.0528951637665574
340,steep,0.01602619663021934
341,march,0.06132730635494579
342,indeed,-0.04838446287016506
343,produce,-0.03425860366206127
344,palpitation,0.010694601645978645
345,heart,0.0012280411138409367
346,doubt,-0.02325632982435068
347,damnable,-0.0008302059066087279
348,business,0.00617861914479418
349,concern,-0.028527134695531697
350,peaceably,-0.020843097573138947
351,inclined,-0.012057305558055799
352,men,0.025279817292388183
353,small,0.013083764970594427
354,movable,0.0022852614179402478
355,fort,0.01948522177613238
356,magazine,0.004607375903352257
357,service,0.004646113903252155
358,unscrupulous,-0.0016828649730697303
359,man,0.061828117837867465
360,power,-0.016105483774399243
361,visit,-0.020690079512018816
362,navy,0.009449275751729245
363,yard,0.02865164955105774
364,behold,0.028963925051508434
365,marine,0.022650250750012778
366,man,0.06557448442084639
367,american,0.014935526684837644
368,government,-0.04195143887938939
369,make,-0.03615900899028044
370,make,-0.03671608531514276
371,man,0.07206397355503605
372,black,0.02856640061327892
373,mere,-0.005222033816710538
374,shadow,0.02864758218918272
375,reminiscence,0.039100787688057456
376,humanity,-0.03165986901075133
377,man,0.08743492779082819
378,lay,0.018186775976538474
379,alive,0.05665261912191827
380,standing,0.0388730444895848
381,already,-0.02085879556514361
382,one,-0.013086541050242368
383,may,0.010004417148881846
384,say,-0.01834218313274064
385,buried,0.08608200529239236
386,arm,0.008850279930321019
387,funeral,0.09255347114292672
388,accompaniment,0.041354455563397986
389,though,-0.02114525761248292
390,may,0.00889307605662739
391,drum,0.05245135837924864
392,heard,0.026991605731403467
393,funeral,0.10381233275321436
394,note,-0.004024171119957669
395,corpse,0.09947189414600069
396,rampart,0.045258358212576656
397,hurry,0.0004129445346550221
398,soldier,0.08803455683031373
399,discharge,0.02553577945948286
400,farewell,0.03321916657632427
