token,lisa
arrest,0.03297139334152778
arrival,-0.004123492450554247
arrow,0.0042879398060151125
art,1.8384404909302448
article,0.1459259506270147
artificiall,0.02106075523525687
artificially,-0.00548128658683341
artistic,0.062420363304813466
artistically,0.0015684458061140892
arundinaria,0.04624313821191442
associate,0.015901241472689048
association,0.011477951295770433
assume,0.01506884177717518
assure,0.05042228380240654
asunder,0.03540950658172722
atlantic,0.027739277101365648
atop,0.060480231141156145
attach,0.08062451657022801
attain,0.010396712327592606
attempt,0.025555823940609096
attribute,-0.03079685694618014
auburn,0.014365760359676665
augusta,0.025810060248125124
author,-0.027604251925930457
available,0.021875261413602055
average,-0.0018455968158216237
away,0.009960517772751119
ax,-0.011058921369957363
b,0.0069903118761349406
back,0.12404048970319694
backward,-0.0010920298292538791
badly,-0.004378872518331891
bag,0.1510090112359326
bake,0.006445308479147522
baking,0.02312323221438039
ball,0.06469606490390029
band,0.16516573564462625
barbacoas,-0.01132905685038133
barbarous,0.04592348586102218
bare,-0.005379941357966954
bark,0.7994885529175189
barkes,0.06815108761148311
bartram,-0.0021328164328314886
base,-0.0008461594687299082
basis,0.053522373796312445
basket,0.49509352717296057
basketmaking,0.03197183006352078
basketry,0.32361308334802485
baskett,0.08444700163569166
basketwork,-0.012482446144160667
bast,0.12516311025921428
bay,0.022744364173679105
bead,0.027845692132750573
bear,-0.0036591240621625352
beast,0.009512977316892442
beasts,0.007454335143430997
beat,0.10794586636978643
beating,0.0477337403649803
beautiful,0.030849629933439024
beautify,-0.011978832027482128
beauty,0.07395247748880643
beaver,0.018322379785147988
become,0.07006981094223629
becomes,0.015475667729870772
bed,0.5278953981463633
begin,0.03736666648780816
behind,-0.01745361842931752
being,0.0075340550806593685
believe,0.002633670078167284
belong,0.03682302374092367
belt,0.1384282094810832
beneath,0.025411727974692894
besides,0.00984342325945415
betwixt,0.053880616038499904
bever,-0.029395400466991448
beyond,0.017892853223849984
bier,0.011079270576672011
bind,0.002263823121789143
bird,0.05331751216912581
bit,0.019036132747609784
black,0.6520436198603162
blade,0.023969331200637004
blanket,0.2833624492297848
bleach,0.028836646131909026
blending,-0.02748449957375043
blossom,0.025348970328732175
blue,0.12682962742122833
boat,0.05612013618108698
body,0.3188939400592736
boil,0.05398148211538629
bois,0.029322856955101728
bolters,0.00052390840522549
bone,0.19408412628441557
bones,0.04420361054737404
border,0.0045686831717614345
bottom,0.06196269853446118
boughs,0.03150726053801835
boulter,0.04103250072016749
bound,0.17633380324068243
bow,0.011864072902109857
bowl,-0.004509235442491189
box,-0.009551894062457076
bracelet,0.03153359693569534
brackenridge,0.007486418211266887
braid,0.026068218875510626
branch,0.04737733422927961
bread,0.012086605345083061
breast,0.012708140504688279
breechcloth,0.09198041368133235
bridge,0.043384462792913144
bridle,0.015275588686629916
brief,0.0010527619178610568
briefly,0.004201517091553431
brigantine,0.09402948668413154
bring,0.06099193713874951
broad,0.03388274598017477
broadcloth,0.07767279830647268
brown,0.12099637623823749
buckskin,0.013602555610393438
buffalo,0.036558180973932874
buffalos,0.009885882987819053
build,-0.018000370545325103
builder,0.014960627564762607
bullock,0.0071192898147560855
bullrush,0.020403457356546844
bureau,0.32174045647641875
burial,0.2510958418157032
burn,-0.039050838464387075
burning,0.039352418562645236
bury,-0.05037476017960156
buy,0.09730195342774221
c,0.029075350342392198
cabin,0.059183720047957356
cage,0.02149255582784779
cagelike,-0.010797151282739989
cairo,0.0208820059190228
calculate,0.03663354850172599
call,0.1575490133987744
calumet,0.037469823816970615
camera,0.009398194943401265
canada,0.015659894637574737
cane,0.3681739654010593
cannabinum,0.07069529455497144
cannabis,0.030959795771375708
canopied,-0.00013631512088577331
capable,-0.0027393503673226348
capture,-0.011956713975129832
carbonization,0.040270004086816295
careful,0.004547527145342075
carolina,0.07489222612809204
carpet,-0.03350052879655612
carry,0.007206958236063998
case,0.21741820562730305
cassock,0.06525064696868046
cast,0.003075603216564222
casting,0.05743449532110633
cattle,-0.000355327262848497
caution,0.01549490580674831
cave,0.27889559201484543
cavern,0.09632919261050704
celt,-0.003324818499028989
cement,-0.009700778820855679
center,0.020333372825127947
central,0.056075508876628335
ceremonious,0.007619313580103747
ceremony,0.10925006874403513
certain,0.04800326242930296
chain,-0.021057841803217354
