token,lisa
course,0.010467644401712113
cover,-0.03912758061996314
cow,0.06490157710739242
cowman,0.0010683875193910743
cowslip,0.09615917435947596
cream,0.06757465100784318
creep,0.0620929951723987
crevice,0.024206002273743987
crib,0.035278217346957304
criba,0.027392842030343777
crimson,0.27881185184156565
crop,0.33104308473279886
crowfoot,0.7330471675379906
crumble,0.0485627215512237
crumple,0.01862153784993589
culm,0.15964506081032506
cultivate,0.014882244680604067
cup,0.0068372142025431995
cuplike,-0.025360331344757785
curious,-0.04279238391285915
currant,0.03670750639518657
curve,0.010420653829051907
cut,0.19281463191991768
daffodil,0.002978433912811939
dainty,0.015325281768538836
daisy,0.3742488479335303
daisys,0.012321214348010211
damp,0.08280573843452688
dan,-0.0072822512240456145
dance,0.0018114809173822451
dandelion,0.727816698718975
