input_file,n_groups,n_tests,use_prior,chunk_size,nmi,pk,pk_rdm,wd,wd_rdm
corpora/cities_pp/c3_pp_wostw.txt,14,20,False,292,0.5977680295627674,0.4433392857142857142857142857,0.6375,0.571410714285714285714285714,1
corpora/cities_pp/c40_pp_wostw.txt,15,20,False,292,0.6122456761323554,0.500020169423154497781363453,0.5562726906010488100040338845,0.611617587736990722065348931,1
corpora/cities_pp/c41_pp_wostw.txt,16,20,False,292,0.5883376589222629,0.505941669252249457027614024,0.6047161030096183679801427235,0.6441824387216878684455476265,1
corpora/cities_pp/c42_pp_wostw.txt,13,20,False,292,0.6042455915438281,0.507527097551184263348052991,0.550782818145323163388197511,0.618727418707346447209955841,1
corpora/cities_pp/c43_pp_wostw.txt,9,20,False,292,0.6057292376247647,0.3578106508875739644970414203,0.6272189349112426035502958585,0.4273964497041420118343195266,1
corpora/cities_pp/c44_pp_wostw.txt,14,20,False,292,0.6609311389121568,0.4124180751983442566402207658,0.536046912728527078302863056,0.520334598137288720248361504,1
corpora/cities_pp/c45_pp_wostw.txt,8,20,False,292,0.5607292022855269,0.3889914772727272727272727272,0.6207386363636363636363636365,0.4323863636363636363636363637,1
corpora/cities_pp/c46_pp_wostw.txt,13,20,False,292,0.5675976241509815,0.4769705603038936372269705604,0.642924976258309591642924977,0.616935739157961380183602406,1
corpora/cities_pp/c47_pp_wostw.txt,10,20,False,292,0.48530293537653746,0.5058624152648757218177253325,0.531257845844840572432839568,0.6173487321114737634948531255,1
corpora/cities_pp/c48_pp_wostw.txt,12,20,False,292,0.5865599350385027,0.4640536549347772581836081712,0.580851587496923455574698499,0.596418902288949052424317007,1
corpora/cities_pp/c49_pp_wostw.txt,15,20,False,292,0.5932064574767387,0.518086883876357560568086884,0.5689223057644110275689223065,0.576169590643274853801169591,1
corpora/cities_pp/c4_pp_wostw.txt,11,20,False,292,0.585376380280742,0.4618375072801397786837507280,0.608910891089108910891089109,0.607483983692486895748398369,1
corpora/cities_pp/c50_pp_wostw.txt,11,20,False,292,0.5279070756464271,0.5090366972477064220183486235,0.6165137614678899082568807335,0.5759174311926605504587155965,1
corpora/cities_pp/c51_pp_wostw.txt,12,20,False,292,0.6941891073883067,0.3659987071751777634130575308,0.530704589528118939883645766,0.4580801551389786683904330964,1
corpora/cities_pp/c52_pp_wostw.txt,12,20,False,292,0.5687060076319085,0.5347474747474747474747474745,0.541414141414141414141414141,0.635286195286195286195286196,1
corpora/cities_pp/c53_pp_wostw.txt,13,20,False,292,0.5065359122976418,0.51745568525724167747514051,0.5674448767833981841763942925,0.6909641158668396022481625595,1
corpora/cities_pp/c54_pp_wostw.txt,11,20,False,292,0.5248658422358897,0.470109499852027226990233797,0.6200059189109203906481207465,0.5743711157147084936371707605,1
corpora/cities_pp/c55_pp_wostw.txt,16,20,False,292,0.6056573971576084,0.517137476459510357815442561,0.582862523540489642184557439,0.662586315128688010043942247,1
corpora/cities_pp/c56_pp_wostw.txt,14,20,False,292,0.5499007499376576,0.529405111965618638317122823,0.6190907034607554851843474325,0.6897647591042750508934630175,1
corpora/cities_pp/c57_pp_wostw.txt,10,20,False,292,0.6110359772606481,0.4738061127029608404966571155,0.527220630372492836676217765,0.603295128939828080229226361,1
corpora/cities_pp/c58_pp_wostw.txt,15,20,False,292,0.6221470585435038,0.4814189189189189189189189189,0.5919958419958419958419958415,0.582718295218295218295218295,1
corpora/cities_pp/c59_pp_wostw.txt,14,20,False,292,0.6186312217702395,0.4635815416885159937073938124,0.580492920818038804404824331,0.566518091242789722076560042,1
corpora/cities_pp/c5_pp_wostw.txt,12,20,False,292,0.5658847742408902,0.4673886290918040856509968004,0.5589465911887767659365001225,0.6111124784641890228894905245,1
corpora/cities_pp/c60_pp_wostw.txt,13,20,False,292,0.5645393878001874,0.538955562763542004541031463,0.548491728835549789166396367,0.6527732727862471618553357115,1
corpora/cities_pp/c61_pp_wostw.txt,19,20,False,292,0.6579897884360414,0.4514919941775836972343522562,0.610625909752547307132459971,0.57572780203784570596797671,1
corpora/cities_pp/c62_pp_wostw.txt,14,20,False,292,0.614887021722797,0.514812112367748996716526815,0.552353155782561109084275812,0.6833637358628237869390733305,1
corpora/cities_pp/c63_pp_wostw.txt,10,20,False,292,0.6031041749263413,0.3459045904590459045904590459,0.591359135913591359135913591,0.4342484248424842484248424843,1
corpora/cities_pp/c64_pp_wostw.txt,12,20,False,292,0.5127962846400205,0.516635135135135135135135135,0.568108108108108108108108108,0.681337837837837837837837838,1
corpora/cities_pp/c65_pp_wostw.txt,17,20,False,292,0.6704335334369532,0.4271753986332574031890660592,0.5936218678815489749430523915,0.544829157175398633257403189,1
corpora/cities_pp/c66_pp_wostw.txt,12,20,False,292,0.5691316753899885,0.521683537559936068193926478,0.595098561534363345764517848,0.6024773574853489611081513055,1
