alpha,beta,kappa,nmi
1,10,0.6,1.2821685480551734e-15
1,10,0.8,5.604825655507738e-05
1,10,1,0.07932290858784644
1,100,0,0.045332614776239614
1,100,0.2,0.04549362377719915
1,100,0.4,0.05488138521828797
1,100,0.6,0.05937070791337914
1,100,0.8,0.0578307961958287
1,100,1,0.055589576947768594
1,500,0,0.04938474328301862
1,500,0.2,0.04070240512308207
1,500,0.4,0.05497872729735569
1,500,0.6,0.050034900839503814
1,500,0.8,0.049292913369590456
1,500,1,0.052364381876269836
1,1000,0,1.2821685480551734e-15
1,1000,0.2,1.2821685480551734e-15
1,1000,0.4,1.2821685480551734e-15
1,1000,0.6,1.2821685480551734e-15
1,1000,0.8,1.2821685480551734e-15
1,1000,1,1.2821685480551734e-15
10,0.1,0,1.7004398926071225e-05
10,0.1,0.2,0.0006765196994730328
10,0.1,0.4,0.0010461601948825654
10,0.1,0.6,0.0011609544099554308
10,0.1,0.8,0.0017318334822004422
10,0.1,1,0.0012655047115599596
10,1,0,4.515881530878247e-05
10,1,0.2,0.0020475763915229154
10,1,0.4,0.001328932826408746
10,1,0.6,0.0020947168779716888
10,1,0.8,0.00390193020738295
10,1,1,0.0026921388863440435
10,10,0,2.864235834039569e-05
10,10,0.2,0.0019412940569583372
10,10,0.4,0.0012738973579582914
10,10,0.6,0.0007755441096628676
10,10,0.8,0.00037119644318362794
10,10,1,0.0006389248508249302
10,100,0,0.06601668735020996
10,100,0.2,0.04875506357334957
10,100,0.4,0.05022883770717147
10,100,0.6,0.10912960520275779
10,100,0.8,0.016621812680941202
10,100,1,0.0017623409701172492
10,500,0,0.057590046337193564
10,500,0.2,0.053744239310617024
10,500,0.4,0.05357787221747237
10,500,0.6,0.04791123240967169
10,500,0.8,0.05827527245574106
10,500,1,0.05632230507769863
10,1000,0,1.2821685480551734e-15
10,1000,0.2,1.2821685480551734e-15
10,1000,0.4,1.2821685480551734e-15
10,1000,0.6,1.2821685480551734e-15
10,1000,0.8,1.2821685480551734e-15
10,1000,1,1.2821685480551734e-15
100,0.1,0,0.0011360788549022959
100,0.1,0.2,0.0018510751653703372
100,0.1,0.4,0.0003294666822485995
100,0.1,0.6,0.001793815709149778
100,0.1,0.8,0.001302510298244263
100,0.1,1,0.0015683784095398957
100,1,0,0.001729478964903374
100,1,0.2,0.001012054931342165
100,1,0.4,0.0014788720406718045
100,1,0.6,0.0012708808681752748
100,1,0.8,0.001240344364201744
100,1,1,1.2821685480551734e-15
100,10,0,0.0010139234016831688
100,10,0.2,0.001059951387870227
100,10,0.4,0.001500848948514251
100,10,0.6,0.0022923065396751215
100,10,0.8,0.002294285900727171
100,10,1,0.002152387895161541
100,100,0,0.0020953547904558356
100,100,0.2,0.001928491872268243
100,100,0.4,0.004317711589280516
100,100,0.6,0.0014651781296859162
100,100,0.8,0.0011654227526382455
100,100,1,0.001141169695779126
100,500,0,0.08817093310916649
100,500,0.2,0.005059516945832113
100,500,0.4,0.005064003879450967
100,500,0.6,0.00046729734330127346
100,500,0.8,0.001431637081871559
100,500,1,0.0011285387249930698
100,1000,0,1.2821685480551734e-15
100,1000,0.2,1.2821685480551734e-15
100,1000,0.4,1.2821685480551734e-15
100,1000,0.6,1.2821685480551734e-15
100,1000,0.8,1.2821685480551734e-15
100,1000,1,1.2821685480551734e-15
500,0.1,0,0.0015112802122523878
500,0.1,0.2,0.0008403896121866515
500,0.1,0.4,0.002883483321090878
500,0.1,0.6,0.0010825617437563756
500,0.1,0.8,0.00022795178714466938
500,0.1,1,0.00037621239985342447
500,1,0,0.0012684540669219775
500,1,0.2,0.002394280821527219
500,1,0.4,0.001270809608359162
500,1,0.6,0.0014968309915685929
500,1,0.8,0.00019093416773529394
500,1,1,0.00033823471428787253
500,10,0,0.003648597405981362
500,10,0.2,0.001853145912882507
500,10,0.4,0.0017692914156158305
500,10,0.6,0.0005100799330868112
500,10,0.8,0.0003924626361997969
500,10,1,0.0002600998037754791
500,100,0,0.0012621248141315856
500,100,0.2,0.002182000519153272
500,100,0.4,0.0014654847702673984
500,100,0.6,0.0019102750235962783
500,100,0.8,0.00033313386432326617
500,100,1,0.00018767376782497753
500,500,0,0.003148366969683941
500,500,0.2,0.0014284185401668428
500,500,0.6,0.0011978604188656612
500,500,0.8,0.001736099867779563
500,500,1,0.0002992124694881806
500,1000,0,1.2821685480551734e-15
500,1000,0.2,1.2821685480551734e-15
500,1000,0.4,1.2821685480551734e-15
500,1000,0.6,1.2821685480551734e-15
500,1000,0.8,1.2821685480551734e-15
500,1000,1,1.2821685480551734e-15
