input_file,known_label_ratio,sim_tag,n_groups,fold_id,dist_option,exch_mat_opt,exch_range,alpha,beta,kappa,nmi_train,nmi_test,mean train,IC95 train,mean test,IC95 test
mix_sent1.txt,0,wup,4,1,max_minus,d,3,1,10,1,0.114161116450682,0.028252170283202,,,,
mix_sent1.txt,0,wup,4,2,max_minus,d,5,2,10,0.5,0.123067191303951,0.045497835472563,,,,
mix_sent1.txt,0,wup,4,3,max_minus,d,10,5,10,0,0.120174327668838,0.03005084168376,,,,
mix_sent1.txt,0,wup,4,4,max_minus,u,5,2,10,0.5,0.166979108027783,0.051916187373902,0.126507789211222,0.020876122498556,0.035566246773524,0.01123236402345
mix_word3.txt,0,wup,4,0,max_minus,d,3,5,200,1,0.023160237264811,0.011703043193272,,,,
mix_word3.txt,0,wup,4,1,max_minus,d,3,2,50,0.5,0.023665791815638,0.015931324914578,,,,
mix_word3.txt,0,wup,4,2,max_minus,d,5,10,200,0.75,0.028257639583419,0.011475451597595,,,,
mix_word3.txt,0,wup,4,3,max_minus,d,3,1,10,1,0.019173629410209,0.004494229393397,,,,
mix_word3.txt,0,wup,4,4,max_minus,d,3,10,50,0,0.033105427850392,0.013324847932174,0.025472545184894,0.004781320198128,0.011385779406203,0.003795369012589
mix_word1.txt,0,wup,4,0,max_minus,u,15,0.1,100,0.25,0.018392824789348,0.016839858469663,,,,
mix_word1.txt,0,wup,4,1,max_minus,d,5,2,200,0.75,0.021504575738674,0.01575965504711,,,,
mix_word1.txt,0,wup,4,2,max_minus,u,3,10,200,0,0.031341217967786,0.011990700584236,,,,
mix_word1.txt,0,wup,4,3,max_minus,s,5,2,200,1,0.021953741813594,0.016252809156683,,,,
mix_word1.txt,0,wup,4,4,max_minus,d,10,0.1,200,0.75,0.027452671642475,0.01526072513082,0.024129006390375,0.004638662266859,0.015220749677702,0.00169775700432
