token,id,G1,G2,G3,G4,G5
major,51,9.76509203983338e-10,6.466753949376932e-09,3.491711514514423e-05,4.975776579254089e-09,0.9999650704658151
name,52,1.67587805761125e-06,0.9987700413900429,0.0012155356672725686,1.2584349857803455e-05,1.627147691676542e-07
willingdon,53,1.863206685552244e-05,0.9822132414931878,0.01738629837825019,0.00038142552972515525,4.025319814856902e-07
beauty,54,0.001976121528524752,1.9283890593770504e-07,0.18317686969422164,0.028279229599558815,0.786567586338789
farm,55,0.9999990172904728,3.8637770714792e-07,4.427049565406774e-07,5.26830408931099e-08,1.0094382263686725e-07
everyone,56,6.654340284295269e-08,0.9981543489196295,2.2101345048557664e-08,1.4605274316916258e-06,0.0018441019081910175
hour,57,8.635874941042849e-07,1.280201468679556e-07,0.9968280732981744,6.263222926913025e-06,0.0031646718712578055
sleep,58,0.0006612100527383698,0.9982863048615315,3.237358601696616e-08,0.000788888798053613,0.00026356391409054715
order,59,1.5632254370584046e-06,1.432825658672636e-07,0.9937561924333782,3.7446396226442394e-07,0.006241726594656508
end,60,5.071806093529806e-06,0.9995536263248126,1.6748245338106483e-08,7.053415252380176e-07,0.0004405797793232491
barn,61,4.100706364513994e-08,1.0158945265524593e-05,5.3156788646803025e-05,0.9999366383980061,4.8610178233283035e-09
sort,62,0.00231419449020723,1.2067415114100602e-06,0.9873291065381891,6.621602072841969e-05,0.010289276209363776
platform,63,0.04300337729037574,1.7795043714051642e-06,0.954012827569381,0.0003768565874074093,0.002605159048464606
major,64,1.876265215143861e-05,0.9763792517117996,4.984216821425726e-09,1.9907012051780936e-06,0.023599989950626857
bed,65,6.731257749896557e-08,0.00416200905660674,0.021655396915211737,0.9741107778878303,7.174882777372148e-05
straw,66,0.9999793489537318,1.68960993849379e-06,1.8884983477855636e-05,4.2966809872238717e-10,7.602318399046021e-08
lantern,67,2.3828297581883267e-09,0.0008413074227377943,0.01006612954941205,0.9890417733174306,5.078732758975926e-05
beam,68,0.0031537029568868206,0.985748621250851,8.901832509593083e-05,0.01097800493081263,3.0652536353539094e-05
year,69,3.0141475436289537e-07,2.326137205199977e-07,0.009894388058057257,2.7739564429363617e-06,0.9901023039570248
pig,70,0.9999999145582847,6.169634224008137e-08,7.219617615209726e-09,1.4441866123472712e-08,2.083889221622264e-09
appearance,71,4.740987705501382e-07,6.314315021888609e-07,0.017672284664464903,1.0709465254129048e-05,0.9823159003400083
spite,72,1.3647085303510073e-09,0.9991023735557559,0.0008975013075997097,6.2413788740684555e-09,1.1753055691734792e-07
