input_file,n_groups,n_tests,dist_option,exch_mat_opt,exch_range,alpha,beta,kappa,mean_nmi,mean_pk,mean_rdm_pk,mean_wd,mean_rdm_wd,mean_ext_nmi,mean_ext_pk,mean_rdm_ext_pk,mean_ext_wd,mean_rdm_ext_wd
corpora/cities_pp/c29_pp_wostw.txt,13,3,max_minus,u,5,1,100,0,0.6855939969061278,0.4408602150537634408602150537,0.5967741935483870967741935483,0.5591397849462365591397849463,0.9139784946236559139784946237,0.6855939969061278,0.3921365395245992260917634053,0.569548092868988391376451078,1.0,1.0
corpora/cities_pp/c29_pp_wostw.txt,13,3,max_minus,u,5,1,100,0.25,0.6844436423618259,0.4516129032258064516129032257,0.5967741935483870967741935483,0.5860215053763440860215053763,0.8870967741935483870967741933,0.6844436423618259,0.3949350469872857932559425097,0.569548092868988391376451078,1.0,1.0
corpora/cities_pp/c29_pp_wostw.txt,13,3,max_minus,u,5,1,100,0.5,0.6994846710451057,0.4301075268817204301075268817,0.5913978494623655913978494623,0.548387096774193548387096774,0.9193548387096774193548387097,0.6994846710451057,0.399426478717523493642896628,0.569548092868988391376451078,1.0,1.0
corpora/cities_pp/c29_pp_wostw.txt,13,3,max_minus,u,5,1,100,0.75,0.7193377728371892,0.4408602150537634408602150537,0.5860215053763440860215053763,0.532258064516129032258064516,0.9086021505376344086021505373,0.7193377728371892,0.4079947484798231066887783307,0.569548092868988391376451078,1.0,1.0
corpora/cities_pp/c29_pp_wostw.txt,13,3,max_minus,u,5,1,100,1,0.7534853914093715,0.4032258064516129032258064517,0.5913978494623655913978494623,0.494623655913978494623655914,0.8817204301075268817204301077,0.7534853914093715,0.337099226091763405196241017,0.569548092868988391376451078,1.0,1.0
corpora/cities_pp/c29_pp_wostw.txt,13,3,max_minus,u,5,1,200,0,0.6735855954273533,0.4408602150537634408602150537,0.5967741935483870967741935483,0.5913978494623655913978494623,0.8870967741935483870967741933,0.6735855954273533,0.411656992813709231619679381,0.569548092868988391376451078,1.0,1.0
corpora/cities_pp/c29_pp_wostw.txt,13,3,max_minus,u,5,1,200,0.25,0.6856299082761454,0.4301075268817204301075268817,0.5967741935483870967741935483,0.5752688172043010752688172043,0.8924731182795698924731182793,0.6856299082761454,0.4115187949143173023770038697,0.569548092868988391376451078,1.0,1.0
corpora/cities_pp/c29_pp_wostw.txt,13,3,max_minus,u,5,1,200,0.5,0.6886896942995709,0.4247311827956989247311827957,0.5967741935483870967741935483,0.5537634408602150537634408603,0.9086021505376344086021505377,0.6886896942995709,0.4016203703703703703703703703,0.569548092868988391376451078,1.0,1.0
corpora/cities_pp/c29_pp_wostw.txt,13,3,max_minus,u,5,1,200,0.75,0.7011268388898798,0.4032258064516129032258064517,0.5913978494623655913978494623,0.516129032258064516129032258,0.9086021505376344086021505377,0.7011268388898798,0.3926720563847429519071310117,0.569548092868988391376451078,1.0,1.0
corpora/cities_pp/c29_pp_wostw.txt,13,3,max_minus,u,5,1,200,1,0.7139310560510316,0.4247311827956989247311827957,0.5913978494623655913978494623,0.532258064516129032258064516,0.9301075268817204301075268817,0.7139310560510316,0.408910309563294637921503593,0.569548092868988391376451078,1.0,1.0
corpora/cities_pp/c29_pp_wostw.txt,13,3,max_minus,u,5,2,5,0,0.0,0.4032258064516129032258064517,0.6021505376344086021505376343,0.4032258064516129032258064517,0.9247311827956989247311827957,0.0,0.430451907131011608623548922,0.569548092868988391376451078,1.0,1.0
corpora/cities_pp/c29_pp_wostw.txt,13,3,max_minus,u,5,2,5,0.25,0.0,0.4032258064516129032258064517,0.5860215053763440860215053763,0.4032258064516129032258064517,0.9032258064516129032258064517,0.0,0.430451907131011608623548922,0.569548092868988391376451078,1.0,1.0
corpora/cities_pp/c29_pp_wostw.txt,13,3,max_minus,u,5,2,5,0.5,0.0,0.4032258064516129032258064517,0.6021505376344086021505376347,0.4032258064516129032258064517,0.9139784946236559139784946237,0.0,0.430451907131011608623548922,0.569548092868988391376451078,1.0,1.0
