input_file,n_groups,n_tests,dist_option,exch_mat_opt,exch_range,alpha,beta,kappa,mean_nmi,mean_pk,mean_rdm_pk,mean_wd,mean_rdm_wd,mean_ext_nmi,mean_ext_pk,mean_rdm_ext_pk,mean_ext_wd,mean_rdm_ext_wd
corpora/wiki50_pp/6544206_pp_wostw.txt,2,3,max_minus,u,5,1,50,0,0.24725117020170903,0.2528735632183908045977011494,0.586206896551724137931034483,0.4712643678160919540229885057,0.9425287356321839080459770117,0.24725117020170903,0.2457762193178195728402932738,0.559770481351609818297736691,1.0,1.0
corpora/wiki50_pp/6544206_pp_wostw.txt,2,3,max_minus,u,5,1,50,0.25,0.24725117020170903,0.2528735632183908045977011494,0.574712643678160919540229885,0.4712643678160919540229885057,0.9770114942528735632183908047,0.24725117020170903,0.2457762193178195728402932738,0.559770481351609818297736691,1.0,1.0
corpora/wiki50_pp/6544206_pp_wostw.txt,2,3,max_minus,u,5,1,50,0.5,0.28117439933576627,0.2068965517241379310344827586,0.586206896551724137931034483,0.4137931034482758620689655173,0.965517241379310344827586207,0.28117439933576627,0.1730953139942620337902454574,0.559770481351609818297736691,1.0,1.0
corpora/wiki50_pp/6544206_pp_wostw.txt,2,3,max_minus,u,5,1,50,0.75,0.28117439933576627,0.2068965517241379310344827586,0.5977011494252873563218390803,0.4137931034482758620689655173,0.9425287356321839080459770117,0.28117439933576627,0.1730953139942620337902454574,0.559770481351609818297736691,1.0,1.0
corpora/wiki50_pp/6544206_pp_wostw.txt,2,3,max_minus,u,5,1,50,1,0.28117439933576627,0.2068965517241379310344827586,0.5747126436781609195402298853,0.4137931034482758620689655173,0.919540229885057471264367816,0.28117439933576627,0.1730953139942620337902454574,0.559770481351609818297736691,1.0,1.0
corpora/wiki50_pp/6544206_pp_wostw.txt,2,3,max_minus,u,5,1,100,0,0.2348777988007649,0.2643678160919540229885057471,0.586206896551724137931034483,0.4482758620689655172413793103,0.931034482758620689655172414,0.2348777988007649,0.2739347571990224205716714483,0.559770481351609818297736691,1.0,1.0
corpora/wiki50_pp/6544206_pp_wostw.txt,2,3,max_minus,u,5,1,100,0.25,0.24725117020170903,0.2528735632183908045977011494,0.586206896551724137931034483,0.4712643678160919540229885057,0.9770114942528735632183908047,0.24725117020170903,0.2457762193178195728402932738,0.559770481351609818297736691,1.0,1.0
corpora/wiki50_pp/6544206_pp_wostw.txt,2,3,max_minus,u,5,1,100,0.5,0.24725117020170903,0.2528735632183908045977011494,0.586206896551724137931034483,0.4712643678160919540229885057,0.9885057471264367816091954023,0.24725117020170903,0.2457762193178195728402932738,0.559770481351609818297736691,1.0,1.0
corpora/wiki50_pp/6544206_pp_wostw.txt,2,3,max_minus,u,5,1,100,0.75,0.257938477932953,0.2413793103448275862068965517,0.586206896551724137931034483,0.425287356321839080459770115,0.9770114942528735632183908047,0.257938477932953,0.2537456168313675486133248326,0.559770481351609818297736691,1.0,1.0
corpora/wiki50_pp/6544206_pp_wostw.txt,2,3,max_minus,u,5,1,100,1,0.257938477932953,0.2413793103448275862068965517,0.5632183908045977011494252873,0.425287356321839080459770115,0.9540229885057471264367816093,0.257938477932953,0.2537456168313675486133248326,0.559770481351609818297736691,1.0,1.0
