__id__	__unit__	__context__	__count__
1327	un	44	1
1328	le	44	1
1329	de	44	1
1330	à	44	1
1331	on	44	1
1332	bien	44	1
1333	bon	44	1
1334	eh	44	1
1335	voir	44	1
1336	croire	44	1
1337	la	44	1
1338	femme	44	1
1339	effronté	44	1
1340	fier	44	1
1341	maintien	44	1
1342	mon	45	1
1343	et	45	1
1344	de	45	1
1345	faire	45	1
1346	moi	45	2
1347	sans	45	1
1348	du	45	1
1349	lui	45	2
1350	aller	45	1
1351	mais	45	1
1352	vœu	45	1
1353	maître|maîtresse	45	1
1354	caresse	45	1
1355	portrait	45	1
1356	te	45	1
1357	ton	45	3
1358	poursuivre	45	1
1359	jouer	45	1
1360	chemin	45	1
1361	cajoler	45	1
1362	adresser	45	1
1363	rendre	45	1
1364	je	46	1
1365	avoir	46	1
1366	me	46	1
1367	la|le	46	1
1368	croire	46	1
1369	toi	46	1
1370	oui	46	1
1371	tu	46	1
1372	échapper..	46	1
1373	malgré	46	1
1374	y	47	1
1375	vous	47	1
1376	je	47	2
1377	un	47	1
1378	vouloir	47	1
1379	de	47	1
1380	nous	47	1
1381	si	47	1
1382	dire	47	1
1383	me	47	1
1384	mais	47	1
1385	la|le	47	1
1386	prier	47	1
1387	chose	47	1
1388	enfin	47	1
1389	oser	47	1
1390	voici	47	1
1391	Monsieur	47	1
1392	bien	48	1
1393	eh	48	1
1394	parler	48	1
1395	ne	49	2
1396	que	49	2
1397	vous	49	2
1398	je	49	2
1399	avoir	49	2
1400	pas	49	2
1401	un	49	3
1402	et	49	1
1403	votre	49	1
1404	vouloir	49	1
1405	le	49	4
1406	qui	49	2
1407	de	49	6
1408	nous	49	2
1409	à	49	2
1410	moi	49	1
1411	sans	49	2
1412	encor	49	1
1413	dire	49	1
1414	bien	49	2
1415	en	49	1
1416	prendre	49	1
1417	pour	49	2
1418	me	49	2
1419	beau	49	1
1420	jour	49	1
1421	dans	49	1
1422	tout	49	1
1423	tant	49	1
1424	avec	49	1
1425	pareil	49	1
1426	cependant	49	1
1427	morceau	49	1
1428	diable	49	1
1429	corps	49	1
1430	succomber	49	1
1431	effort	49	1
1432	depuis	49	1
1433	huit	49	1
1434	entier	49	1
1435	longue	49	1
1436	traite	49	1
1437	sommer|être	49	1
1438	piquer	49	1
1439	chien|chienne	49	1
1440	mazette	49	1
1441	train	49	1
1442	maudit	49	1
1443	secouer	49	1
1444	sen|sens	49	1
1445	membre	49	1
1446	roué	49	1
1447	préjudice	49	1
1448	accident	49	1
1449	pire	49	1
1450	affliger	49	1
1451	endroit	49	1
1452	arriver	49	1
1453	sortir	49	1
1454	repos	49	1
1455	ni	49	1
1456	manger	49	1
