csv_file_name, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50
gutenbergwellshgtheinvisible, 0.7917862272051667, 1.5041255143095273, 2.2715278814648436, 2.699818103086857, 3.0367820763490863, 3.32102607695014, 3.5525936394088857, 3.6943014595344073, 3.812688044030043, 3.9072021514394835, 4.000598627153737, 4.025239606318793, 4.131812399428746, 4.237194870045871, 4.282834457076804, 4.447419975606121, 4.520919097631309, 4.591486251990461, 4.688327241646678, 4.797971604156259, 4.849792536474261, 4.881657208563426, 4.975138413543822, 5.050511101995186, 5.064900927885178, 5.079466888565309, 5.120622496449032, 5.157139500736304, 5.203116995424225, 5.274301780665521, 5.335719963050168, 5.384637392555479, 5.455420453275724, 5.50938315569599, 5.496284402548705, 5.579616822645673, 5.558081173054068, 5.619617022627359, 5.672536104175893, 5.71283551580382, 5.723293311010103, 5.774741349714615, 5.820068289248692, 5.875855638783748, 5.944784782457065, 6.000634405509872, 6.0569230320777345, 6.057684618478693, 6.082619193617453, 6.123705942396329
gutenbergwellshgthetimemach, 0.5144360433696549, 1.2093826421065443, 1.6383209020430012, 1.8644507925800147, 1.8862892691537645, 2.0719036234949124, 2.1710593198677475, 2.306925935229377, 2.47254873292504, 2.5535889553101647, 2.6122213681425506, 2.667801128183523, 2.7164307556690366, 2.831393682284977, 2.901546511884848, 2.8803476851141077, 2.931280141778572, 2.9296682320970215, 3.0890538020179004, 3.0682273423329023, 3.048881067190535, 3.112985868390587, 3.1563725662819357, 3.1455407064102197, 3.1336129889473554, 3.210983982204295, 3.26887396933328, 3.293136554217172, 3.3304248826105476, 3.320420279366936, 3.3285627317828648, 3.3633685854828665, 3.3818603808700787, 3.403105373959166, 3.403350694910235, 3.446488879006623, 3.4755299817921, 3.4393356045950063, 3.4722816708401165, 3.4704025265995813, 3.4668597623781743, 3.51211480535838, 3.5319234898065415, 3.4905824785255537, 3.491008603466414, 3.507915127116191, 3.530865745910172, 3.5231653468117012, 3.5021285192554643, 3.5065937397273528
gutenbergwildeoscaranidealhusb, 1.402955435341736, 1.9830394088250847, 2.308859978035473, 2.6558256567306953, 2.921558376722971, 3.144002542441708, 3.418813552637794, 3.531544893216594, 3.695375210698319, 3.7712652546628145, 4.058231375675098, 4.1733881496455085, 4.240576570952163, 4.315726000766444, 4.3523804474842835, 4.3995706023420205, 4.389222968033244, 4.44847140261956, 4.49185209010016, 4.502794851730013, 4.491181630687822, 4.447034464102657, 4.485671520539924, 4.491450395240574, 4.548198228502135, 4.597993207112172, 4.669669415832728, 4.7016156419912205, 4.748063044435024, 4.738497483572816, 4.8120356159200055, 4.8451381001746645, 4.87740060165095, 4.8389816119503175, 4.827372225553717, 4.8051987151689834, 4.847889635123626, 4.805535394391239, 4.80850143792623, 4.75172301477763, 4.6785326658108435, 4.662832108539497, 4.673213202256304, 4.683559614762177, 4.727404066257034, 4.747586304192491, 4.780232148350638, 4.784300279966161, 4.820622612579137, 4.802815831047878
gutenbergwildeoscarthecantervillegh, 1.3464453780907153, 1.8336613058529392, 2.333189410098661, 2.665271561920626, 2.8628030408690766, 3.045450986605268, 3.2830616094461713, 3.4060428114726937, 3.557089790771527, 3.683179301715204, 3.775292938493082, 3.8760570448823413, 3.876740318942931, 3.8736735108849336, 3.953477591230815, 4.036167876262905, 4.000982699705895, 4.07476343158934, 4.118942355202129, 4.150899762141518, 4.121770357768973, 4.154631423755342, 4.142957123632615, 4.167882441833399, 4.17832890412503, 4.1742264377912575, 4.213440207946416, 4.236687288830149, 4.239120179279233, 4.2701674557628175, 4.266008540082584, 4.293671128695182, 4.34657987008186, 4.393222323227865, 4.417286332895584, 4.434352696786076, 4.436467481172748, 4.452151081363147, 4.484034813989466, 4.503621088144473, 4.48336108288241, 4.497451757595646, 4.527658076444389, 4.522055166526303, 4.528733121226836, 4.557977994535606, 4.548860349573709, 4.587918592346725, 4.607339656149965, 4.619489110292796
gutenbergwildeoscartheimportanceofbeingear, 1.6339235151604734, 2.144434337757579, 2.557696709650594, 2.7545204626730704, 3.001118482784591, 3.1975194781294816, 3.3382933172558666, 3.470139827485212, 3.57328374782579, 3.618807599386986, 3.653379858906375, 3.7204989546129035, 3.7502516938356445, 3.7974704223229874, 3.771594769475231, 3.7631627490209327, 3.837385742077155, 3.7764925364472215, 3.780994870303128, 3.767477487895935, 3.7370702090288934, 3.7180079019922156, 3.7225319182767347, 3.729403525369328, 3.749868510599773, 3.7674009726427213, 3.7462331021005144, 3.7312149772112746, 3.672406748604201, 3.6940511305027197, 3.701389249542048, 3.6702804327564085, 3.681145670924639, 3.6224098898741715, 3.5830341325510675, 3.59205835063091, 3.5456957734543164, 3.5200258997706126, 3.5420856947079775, 3.4962060178634777, 3.4560601163872033, 3.4663807438135326, 3.4273721383752322, 3.4396880735024524, 3.423253379485595, 3.4454939038982033, 3.43403313117281, 3.4331983390242726, 3.39413005478584, 3.405556325174604
gutenbergwildeoscarthepictureofdoriang, 1.122996405785262, 1.9198372095587086, 2.6402598656161214, 2.8951254720837056, 3.1125727768028675, 3.531786228202039, 3.8508328031301846, 4.156519674545419, 4.326690653181497, 4.517503876522947, 4.568711494698483, 4.574444893310101, 4.635594032900367, 4.652006608524738, 4.736805608038656, 4.835878377034389, 4.855642332090289, 4.905721927164938, 4.9612464054665235, 5.007619859460074, 5.0134251993000705, 4.982507929800742, 5.011395448768569, 4.982315173314277, 4.981592083399112, 5.0235177497090255, 5.087327688242978, 5.076266596148488, 5.039378690461834, 5.054448946586511, 5.113648917774619, 5.090552292207762, 5.068378864360909, 5.119247141749398, 5.099140512371996, 5.120009668922514, 5.084202288385757, 5.0721037282209975, 5.083304898982258, 5.109448562400055, 5.13744881186424, 5.164645264671686, 5.168229259872891, 5.160877843688368, 5.177520799600774, 5.141579910152153, 5.129346934239145, 5.09625275642468, 5.121517399006728, 5.1210027028748835
carrolllewisaliceadventures, 1.896244027181929, 2.407811532083561, 2.783622802867416, 3.0220370585995617, 3.2759156964901903, 3.4517924322569327, 3.6338513539394275, 3.845583709394289, 4.053193516869369, 4.2041998761143295, 4.374630426542819, 4.52708576824318, 4.614510836066288, 4.692647188037639, 4.731156680848755, 4.802689080479677, 4.907501105097226, 5.032585164220931, 5.118183511805723, 5.1520772027989254, 5.26813321025931, 5.324671624333638, 5.379387619362399, 5.413453017970716, 5.441665001329929, 5.479893708300157, 5.528109189225057, 5.557923841190567, 5.624664703081046, 5.620792784080331, 5.638783312439691, 5.7527408977634265, 5.797076064750414, 5.834225767721353, 5.829743295005972, 5.839353796891178, 5.870636649205938, 5.889967085800278, 5.893435216678256, 5.894906739668164, 5.87851992771919, 5.936646097640386, 5.946865766738899, 5.976317618886978, 5.98360489142666, 6.0156880799777745, 6.034961410342048, 6.042565416353721, 6.069846282731601, 6.1039553283251955
carrolllewissylvieandbruno, 2.7753965060099453, 3.198894071473338, 3.4854186953991366, 3.630813663306307, 3.735590058850112, 3.936839281533738, 4.09960282167619, 4.272662952476445, 4.470217969149563, 4.605567184277096, 4.7722178042957255, 4.793133617923535, 4.869638513010747, 4.9555644662395215, 5.069020333962233, 5.146642110631149, 5.170983394681924, 5.214721878043498, 5.259496299090656, 5.3023819059291855, 5.328075456547654, 5.334600384854037, 5.392048615251576, 5.415726514879815, 5.480455775443165, 5.490695803873599, 5.527113246110179, 5.5330353540066834, 5.530662753002697, 5.545092730382568, 5.524520794813787, 5.541305698497863, 5.567351259894127, 5.5716539851773215, 5.585618452903423, 5.583320525302873, 5.5923405825803, 5.611071726685025, 5.624427559606464, 5.616543721506553, 5.628959749737222, 5.6303928131444, 5.642485688039871, 5.680936152916306, 5.702661598946202, 5.712107651966604, 5.704638128409953, 5.71486273464649, 5.715193449552696, 5.7329299811354595
carrolllewisthehuntingofthesnark, 1.7323978359909415, 2.239290057342644, 2.5776046735131803, 3.024350891185284, 3.147363433097362, 3.246899008930965, 3.39745298063915, 3.462710124118393, 3.4946687808123036, 3.528001875329309, 3.5959134888459134, 3.6277932403424518, 3.652372607882001, 3.6844022582427494, 3.730108456109244, 3.7130018041581168, 3.748937050988735, 3.7155542859229436, 3.7468821229555975, 3.7081198493367906, 3.7106247569487847, 3.671735877368602, 3.675816437844349, 3.6909969248693995, 3.7312227954708552, 3.748477943129777, 3.755166896227142, 3.7320933094982434, 3.7803695607299366, 3.7990405310526643, 3.8263079340179633, 3.836787277344886, 3.8769412252433146, 3.8910489623229174, 3.9109889249373544, 3.924859704604686, 3.936239934553059, 3.957774040311513, 3.937495523123081, 3.950565432431799, 3.9584099135144633, 3.934351068311276, 3.9064051592400544, 3.8995639579756283, 3.9026305914357358, 3.90501484816414, 3.8977681272062257, 3.888383927020924, 3.8861314176721913, 3.882561572609482
carrolllewisthroughthelookingglass, 2.1867849620693387, 2.417774859139078, 2.7101018492503046, 2.872625648983316, 3.108752987492614, 3.311759039898918, 3.447340776580785, 3.4836741520775125, 3.5181148566675735, 3.6578121389482066, 3.7635281473753173, 3.8940881436854022, 3.9482511114956798, 4.016699206291627, 4.10115182039788, 4.210449133251539, 4.343750608908452, 4.397383637751525, 4.452297119984238, 4.546576226946796, 4.580780460506555, 4.688492845282851, 4.756853807720037, 4.831356539061641, 4.882572066572969, 4.91367776563178, 4.961443264861912, 4.965567003160899, 5.052351022011759, 5.122455162352503, 5.143117177711194, 5.1564773850420815, 5.188241122781702, 5.2326435127060895, 5.285293648216597, 5.306032068048983, 5.301718170686307, 5.341930528936267, 5.356220969231304, 5.3792125244868005, 5.44083386925323, 5.484599496971206, 5.459727664965079, 5.484064649905088, 5.4690751060229195, 5.484363174961841, 5.516899674047031, 5.541352480930631, 5.56006079256774, 5.570931165575416
