input_file,sim_tag,dist_opt,exch_opt,exch_range,alpha,beta,kappa,known_label,n_test,mean_nmi,ci95_nmi
61320_199211_pp.txt,w2v,max_minus,u,5,5,10,0.75,0,5,0.04125257241302488,0.005372507151833121
61320_199211_pp.txt,w2v,max_minus,u,5,5,10,1,0,5,0.033259546544327286,0.007570944789508558
61320_199211_pp.txt,w2v,max_minus,u,5,5,50,0,0,5,0.020776085074060344,0.004760549898943189
61320_199211_pp.txt,w2v,max_minus,u,5,5,50,0.25,0,5,0.05855992831147381,0.006459796688855828
61320_199211_pp.txt,w2v,max_minus,u,5,5,50,0.5,0,5,0.10082310873479587,0.01925062755681947
61320_199211_pp.txt,w2v,max_minus,u,5,5,50,0.75,0,5,0.05901207798635505,0.012335729859637379
61320_199211_pp.txt,w2v,max_minus,u,5,5,50,1,0,5,0.04493851838130271,0.014497459678401945
61320_199211_pp.txt,w2v,max_minus,u,5,5,100,0,0,5,0.03135153455835517,0.002319100491432533
61320_199211_pp.txt,w2v,max_minus,u,5,5,100,0.25,0,5,0.06991569672586412,0.0038278428583662354
61320_199211_pp.txt,w2v,max_minus,u,5,5,100,0.5,0,5,0.11990010247903087,0.006139775402898239
61320_199211_pp.txt,w2v,max_minus,u,5,5,100,0.75,0,5,0.06915967630493453,0.01729037185767508
61320_199211_pp.txt,w2v,max_minus,u,5,5,100,1,0,5,0.04210816051598697,0.008943881682818355
61320_199211_pp.txt,w2v,max_minus,u,5,5,200,0,0,5,0.02372793653325578,0.0016645234943755303
61320_199211_pp.txt,w2v,max_minus,u,5,5,200,0.25,0,5,0.02562225176252867,0.004669013657156073
61320_199211_pp.txt,w2v,max_minus,u,5,5,200,0.5,0,5,0.03719910710779815,0.005028073845561478
61320_199211_pp.txt,w2v,max_minus,u,5,5,200,0.75,0,5,0.09671655885251501,0.0204558029533061
61320_199211_pp.txt,w2v,max_minus,u,5,5,200,1,0,5,0.058339770570345006,0.0039012297152068733
61320_199211_pp.txt,w2v,max_minus,u,5,10,5,0,0,5,0.03239138429523831,0.006563763034648234
61320_199211_pp.txt,w2v,max_minus,u,5,10,5,0.25,0,5,0.03846836622437731,0.0024135375556145677
61320_199211_pp.txt,w2v,max_minus,u,5,10,5,0.5,0,5,0.03576544555242118,0.007791956309822386
61320_199211_pp.txt,w2v,max_minus,u,5,10,5,0.75,0,5,0.030740967126209523,0.004636297503921773
61320_199211_pp.txt,w2v,max_minus,u,5,10,5,1,0,5,0.03325501599508663,0.011155487663842556
61320_199211_pp.txt,w2v,max_minus,u,5,10,10,0,0,5,0.03814935477548652,0.005593373684797241
61320_199211_pp.txt,w2v,max_minus,u,5,10,10,0.25,0,5,0.04573315278433207,0.008541414654230592
61320_199211_pp.txt,w2v,max_minus,u,5,10,10,0.5,0,5,0.036356650341824934,0.004528551678830964
61320_199211_pp.txt,w2v,max_minus,u,5,10,10,0.75,0,5,0.026328837590263256,0.004705729750084185
61320_199211_pp.txt,w2v,max_minus,u,5,10,10,1,0,5,0.03568856620447737,0.005238840734924232
61320_199211_pp.txt,w2v,max_minus,u,5,10,50,0,0,5,0.14998270559098578,0.012583990669219445
61320_199211_pp.txt,w2v,max_minus,u,5,10,50,0.25,0,5,0.07984627198438059,0.016739411420539703
61320_199211_pp.txt,w2v,max_minus,u,5,10,50,0.5,0,5,0.051807157903803115,0.007819381616657874
61320_199211_pp.txt,w2v,max_minus,u,5,10,50,0.75,0,5,0.03690468186122177,0.0038890637028851085
61320_199211_pp.txt,w2v,max_minus,u,5,10,50,1,0,5,0.03544255795160091,0.00384636767948745
