input_file,sim_tag,dist_opt,exch_opt,exch_range,alpha,beta,kappa,known_label,n_test,mean_nmi,ci95_nmi
61320_201211_pp.txt,w2v,max_minus,u,15,2,50,1,0,5,0.06347539496262504,0.011498878700476882
61320_201211_pp.txt,w2v,max_minus,u,15,2,100,0,0,5,0.012265192752414176,0.0007061806520542176
61320_201211_pp.txt,w2v,max_minus,u,15,2,100,0.33,0,5,0.015195139718233063,0.002146612878604901
61320_201211_pp.txt,w2v,max_minus,u,15,2,100,0.66,0,5,0.024238406261465256,0.004454994328636315
61320_201211_pp.txt,w2v,max_minus,u,15,2,100,1,0,5,0.10361486959170581,0.008834118101832234
61320_201211_pp.txt,w2v,max_minus,u,15,2,200,0,0,5,0.013272049358367366,0.0019370558697836765
61320_201211_pp.txt,w2v,max_minus,u,15,2,200,0.33,0,5,0.013396665234899532,0.0022944898460798093
61320_201211_pp.txt,w2v,max_minus,u,15,2,200,0.66,0,5,0.01774458920029542,0.005913014821649808
61320_201211_pp.txt,w2v,max_minus,u,15,2,200,1,0,5,0.026119262573691144,0.005803478571869692
61320_201211_pp.txt,w2v,max_minus,u,15,5,10,0,0,5,0.0037706354109941346,0.004181341917894608
61320_201211_pp.txt,w2v,max_minus,u,15,5,10,0.33,0,5,0.02934304971398023,0.005304841658092
61320_201211_pp.txt,w2v,max_minus,u,15,5,10,0.66,0,5,0.0328573410235309,0.0073146701286607415
61320_201211_pp.txt,w2v,max_minus,u,15,5,10,1,0,5,0.026956787507847135,0.002751567959058671
61320_201211_pp.txt,w2v,max_minus,u,15,5,50,0,0,5,0.003393205528405804,0.0007535970596428021
61320_201211_pp.txt,w2v,max_minus,u,15,5,50,0.33,0,5,0.02363238496008417,0.005392516166503845
61320_201211_pp.txt,w2v,max_minus,u,15,5,50,0.66,0,5,0.05667539261705802,0.007362045764663172
61320_201211_pp.txt,w2v,max_minus,u,15,5,50,1,0,5,0.027838686561850002,0.004030239114688377
61320_201211_pp.txt,w2v,max_minus,u,15,5,100,0,0,5,0.01862351611994171,0.0024839550419837493
61320_201211_pp.txt,w2v,max_minus,u,15,5,100,0.33,0,5,0.09012059129535807,0.016226294427386254
61320_201211_pp.txt,w2v,max_minus,u,15,5,100,0.66,0,5,0.07845634175739918,0.010065460638165845
61320_201211_pp.txt,w2v,max_minus,u,15,5,100,1,0,5,0.03660668489131934,0.0021440614430028844
61320_201211_pp.txt,w2v,max_minus,u,15,5,200,0,0,5,0.013329505512082613,0.0014646435857590197
61320_201211_pp.txt,w2v,max_minus,u,15,5,200,0.33,0,5,0.017716841569935117,0.003467216381809659
61320_201211_pp.txt,w2v,max_minus,u,15,5,200,0.66,0,5,0.06259533192980384,0.006619285550468764
61320_201211_pp.txt,w2v,max_minus,u,15,5,200,1,0,5,0.06452469385663737,0.012129708862896306
61320_201211_pp.txt,w2v,max_minus,u,15,10,10,0,0,5,0.029310893120129754,0.007818207194129786
61320_201211_pp.txt,w2v,max_minus,u,15,10,10,0.33,0,5,0.032886413042971324,0.005056516212889918
61320_201211_pp.txt,w2v,max_minus,u,15,10,10,0.66,0,5,0.02616019733847196,0.0035956802087090812
61320_201211_pp.txt,w2v,max_minus,u,15,10,10,1,0,5,0.025145505727536592,0.003485896967555871
61320_201211_pp.txt,w2v,max_minus,u,15,10,50,0,0,5,0.024734147083322108,0.0060350926270120306
61320_201211_pp.txt,w2v,max_minus,u,15,10,50,0.33,0,5,0.04861878986821037,0.005589558398456041
61320_201211_pp.txt,w2v,max_minus,u,15,10,50,0.66,0,5,0.036623650478098464,0.010015547261476838
61320_201211_pp.txt,w2v,max_minus,u,15,10,50,1,0,5,0.03422436812316605,0.004426013408243568
61320_201211_pp.txt,w2v,max_minus,u,15,10,100,0,0,5,0.09139848171410606,0.018480810915304978
61320_201211_pp.txt,w2v,max_minus,u,15,10,100,0.33,0,5,0.08258036695382914,0.013128016460928009
61320_201211_pp.txt,w2v,max_minus,u,15,10,100,0.66,0,5,0.04166327991532824,0.0075224061754561086
61320_201211_pp.txt,w2v,max_minus,u,15,10,100,1,0,5,0.03260612645288776,0.005399474400519402
61320_201211_pp.txt,w2v,max_minus,u,15,10,200,0,0,5,0.017431594853088102,0.0032522602509660824
61320_201211_pp.txt,w2v,max_minus,u,15,10,200,0.33,0,5,0.09713550309981447,0.022520298130103464
61320_201211_pp.txt,w2v,max_minus,u,15,10,200,0.66,0,5,0.04124632728952204,0.011528261516055826
61320_201211_pp.txt,w2v,max_minus,u,15,10,200,1,0,5,0.02965211045336416,0.0067010944368053596
61320_201211_pp.txt,w2v,max_minus,u,15,30,10,0,0,5,0.023768450410637586,0.004118367388273262
61320_201211_pp.txt,w2v,max_minus,u,15,30,10,0.33,0,5,0.027677222320761523,0.0025957473383823966
61320_201211_pp.txt,w2v,max_minus,u,15,30,10,0.66,0,5,0.025332225997496592,0.0038696168513184647
61320_201211_pp.txt,w2v,max_minus,u,15,30,10,1,0,5,0.02280784265082937,0.0016862477155740866
61320_201211_pp.txt,w2v,max_minus,u,15,30,50,0,0,5,0.042037131397752274,0.00890455309867333
61320_201211_pp.txt,w2v,max_minus,u,15,30,50,0.33,0,5,0.02768129969618142,0.002213590834148137
61320_201211_pp.txt,w2v,max_minus,u,15,30,50,0.66,0,5,0.02598029353321598,0.005546833285497674
61320_201211_pp.txt,w2v,max_minus,u,15,30,50,1,0,5,0.024879803040828825,0.001747230358496319
